int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
712,Sourced,Random,Dnyamic,10,20,9,5,8,5000,0.5,1.00016,77.7272727272727
715,Sourced,Random,Dnyamic,10,30,13,5,8,5000,0.5,1.00044,61.5294117647059
718,Sourced,Random,Dnyamic,10,40,15,5,8,5000,0.5,1.00002,40.96
781,Sourced,Random,Dnyamic,20,10,3,5,8,5000,0.5,1.0002,129
784,Sourced,Random,Dnyamic,20,20,5,5,8,5000,0.5,1.00049,65.0666666666667
787,Sourced,Random,Dnyamic,20,30,8,5,8,5000,0.5,1.00051,45.2272727272727
790,Sourced,Random,Dnyamic,20,40,8,5,8,5000,0.5,1.00024,24.84375
853,Sourced,Random,Dnyamic,30,10,1,5,8,5000,0.5,1.00072666666667,118
856,Sourced,Random,Dnyamic,30,20,2,5,8,5000,0.5,1.00056,55.3888888888889
859,Sourced,Random,Dnyamic,30,30,6,5,8,5000,0.5,1,33.125
862,Sourced,Random,Dnyamic,30,40,3,5,8,5000,0.5,1.00064666666667,29.4594594594595
